"figure","mass","amplitude","toys_per_hypothesis","tail_3nu","tail_4nu","p3_corrected","p4_corrected","cls_corrected","q","observed_test_statistic","tested_point_index","figure_point_index"
"fig3a","0.011659144011798317","0.0630957344480193","5000","3677","3552","0.7354529094181164","0.7104579084183164","0.9660141381185428","0.6736852629474105","-0.17696533810448045","103","103"
"fig3a","0.011659144011798317","0.07356422544596414","5000","3611","3538","0.7222555488902219","0.7076584683063387","0.9797895902547066","0.6715456908618276","-0.2055156448698483","104","104"
"fig3a","0.011659144011798317","0.08576958985908938","5000","3623","3544","0.7246550689862028","0.7088582283543291","0.9782008830022074","0.672625474905019","-0.2385148223310125","105","105"
"fig3a","0.011659144011798317","0.1","5000","3624","3583","0.7248550289942012","0.7166566686662668","0.9886896551724138","0.6804139172165568","-0.27659941386482956","106","106"
"fig3a","0.011659144011798317","0.11659144011798311","5000","3714","3557","0.7428514297140572","0.7114577084583084","0.9577388963660836","0.6743151369726055","-0.32047616876542406","107","107"
"fig3a","0.011659144011798317","0.13593563908785256","5000","3657","3548","0.7314537092581483","0.7096580683863227","0.9702022963367961","0.6730853829234154","-0.3709215926280933","108","108"
"fig3a","0.011659144011798317","0.1584893192461114","5000","3644","3412","0.7288542291541692","0.6824635072985403","0.9363511659807956","0.6460207958408318","-0.42877742661124785","109","109"
"fig3a","0.011659144011798317","0.18478497974222907","5000","3709","3348","0.7418516296740651","0.6696660667866426","0.9026954177897574","0.6325734853029394","-0.4949401369833879","110","110"
"fig3a","0.011659144011798317","0.21544346900318845","5000","3636","3413","0.727254549090182","0.6826634673065387","0.9386857299972505","0.6463007398520296","-0.5703418345354976","111","111"
"fig3a","0.011659144011798317","0.25118864315095796","5000","3643","3301","0.7286542691461708","0.6602679464107178","0.9061470911086718","0.6238352329534093","-0.6559192010695369","112","112"
"fig3a","0.011659144011798317","0.29286445646252374","5000","3636","3293","0.727254549090182","0.6586682663467307","0.9056915039868024","0.6223055388922216","-0.7525659470102823","113","113"
"fig3a","0.011659144011798317","0.34145488738336005","5000","3545","3153","0.7090581883623275","0.6306738652269546","0.8894529046813311","0.5952209558088382","-0.8610630352947339","114","114"
"fig3a","0.011659144011798317","0.3981071705534973","5000","3542","3058","0.7084583083383323","0.6116776644671066","0.8633926051368896","0.5762547490501899","-0.9819793703659911","115","115"
"fig3a","0.011659144011798317","0.46415888336127775","5000","3582","2958","0.7164567086582684","0.5916816636672666","0.825844264582752","0.5558588282343532","-1.11553388072943","116","116"
"fig3a","0.011659144011798317","0.5411695265464638","5000","3522","2770","0.7044591081783643","0.5540891821635673","0.78654555776327","0.5188662267546491","-1.2614079745559366","117","117"
"fig3a","0.011659144011798317","0.630957344480193","5000","3530","2648","0.7060587882423516","0.5296940611877624","0.7502124044180118","0.4943911217756448","-1.4184953396601259","118","118"
"fig3a","0.011659144011798317","0.7356422544596414","5000","3412","2408","0.6824635072985403","0.48170365926814634","0.7058306475241722","0.4475804839032193","-1.5845742021284082","119","119"
"fig3a","0.011659144011798317","0.8576958985908937","5000","3402","2195","0.6804639072185563","0.4391121775644871","0.6453129591536879","0.4050889822035593","-1.7558857817262776","120","120"
"fig3a","0.011659144011798317","1.0","5000","3246","1956","0.6492701459708058","0.39132173565286943","0.6027101940252542","0.3588582283543291","-1.9266022618520537","121","121"
"fig3a","0.013593563908785255","0.0001","5000","2696","2662","0.5392921415716857","0.53249350129974","0.9873934000741564","0.5055288942211558","-0.0003902043044377024","122","122"
"fig3a","0.013593563908785255","0.00011659144011798323","5000","2704","2736","0.5408918216356728","0.5472905418916216","1.0","0.520245950809838","-0.00045494098853282594","123","123"
"fig3a","0.013593563908785255","0.00013593563908785255","5000","2753","2669","0.5506898620275945","0.5338932213557288","0.9694989106753811","0.5063587282543491","-0.0005304170442741452","124","124"
"fig3a","0.013593563908785255","0.00015848931924611142","5000","2698","2693","0.5396920615876825","0.5386922615476905","0.9981474620229714","0.5117076584683063","-0.0006184137940863366","125","125"
"fig3a","0.013593563908785255","0.00018478497974222906","5000","2756","2654","0.5512897420515896","0.5308938212357528","0.9630032644178455","0.5033293341331733","-0.0007210079290018712","126","126"
"fig3a","0.013593563908785255","0.00021544346900318845","5000","2669","2703","0.5338932213557288","0.5406918616276745","1.0","0.5139972005598881","-0.0008406204516973048","127","127"
"fig3a","0.013593563908785255","0.00025118864315095795","5000","2630","2693","0.5260947810437913","0.5386922615476905","1.0","0.5123875224955009","-0.0009800737158229822","128","128"
"fig3a","0.013593563908785255","0.00029286445646252375","5000","2674","2717","0.5348930213957208","0.5434913017396521","1.0","0.516746650669866","-0.0011426578977307145","129","129"
"fig3a","0.013593563908785255","0.0003414548873833601","5000","2765","2677","0.5530893821235753","0.5354929014197161","0.9681851048445409","0.5078384323135373","-0.0013322084542721768","130","130"
"fig3a","0.013593563908785255","0.00039810717055349735","5000","2717","2705","0.5434913017396521","0.5410917816436712","0.9955849889624723","0.5139172165566886","-0.0015531963765340606","131","131"
"fig3a","0.013593563908785255","0.00046415888336127773","5000","2678","2690","0.5356928614277144","0.5380923815236952","1.0","0.5113077384523095","-0.0018108333349573513","132","132"
