flavour,energy_low_GeV,energy_high_GeV,energy_center_GeV,baseline_low_km,baseline_high_km,baseline_center_km,psi_per_POT_per_cm2_per_100MeV_per_km
nue,0.20000000000000001,0.30000000000000004,0.25,0.59000000000000008,0.60000000000000009,0.59500000000000008,1.1020977458174366e-12
nue,0.20000000000000001,0.30000000000000004,0.25,0.60000000000000009,0.6100000000000001,0.60500000000000009,2.8064101557374266e-12
nue,0.20000000000000001,0.30000000000000004,0.25,0.6100000000000001,0.62000000000000011,0.6150000000000001,9.0036254151209503e-13
nue,0.20000000000000001,0.30000000000000004,0.25,0.62000000000000011,0.63,0.625,1.0032283054687226e-12
nue,0.20000000000000001,0.30000000000000004,0.25,0.63,0.64000000000000001,0.63500000000000001,1.0202856408468889e-12
nue,0.20000000000000001,0.30000000000000004,0.25,0.64000000000000001,0.65000000000000002,0.64500000000000002,2.4923014082767997e-12
nue,0.20000000000000001,0.30000000000000004,0.25,0.65000000000000002,0.66000000000000003,0.65500000000000003,8.5119273668070832e-12
nue,0.20000000000000001,0.30000000000000004,0.25,0.66000000000000003,0.67000000000000004,0.66500000000000004,3.2167987569345615e-12
nue,0.20000000000000001,0.30000000000000004,0.25,0.67000000000000004,0.68000000000000005,0.67500000000000004,7.2306312427366496e-12
nue,0.20000000000000001,0.30000000000000004,0.25,0.68000000000000005,0.69000000000000006,0.68500000000000005,2.4172226231070876e-11
nue,0.20000000000000001,0.30000000000000004,0.25,0.69000000000000006,0.70000000000000007,0.69500000000000006,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.70000000000000007,0.71000000000000008,0.70500000000000007,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.71000000000000008,0.72000000000000008,0.71500000000000008,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.72000000000000008,0.73000000000000009,0.72500000000000009,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.73000000000000009,0.7400000000000001,0.7350000000000001,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.7400000000000001,0.75,0.74500000000000011,0
nue,0.30000000000000004,0.40000000000000002,0.35000000000000003,0.050000000000000003,0.060000000000000005,0.055000000000000007,0
nue,0.30000000000000004,0.40000000000000002,0.35000000000000003,0.060000000000000005,0.070000000000000007,0.065000000000000002,0
nue,0.30000000000000004,0.40000000000000002,0.35000000000000003,0.070000000000000007,0.080000000000000002,0.075000000000000011,0
nue,0.30000000000000004,0.40000000000000002,0.35000000000000003,0.080000000000000002,0.089999999999999997,0.084999999999999992,0
nue,0.30000000000000004,0.40000000000000002,0.35000000000000003,0.089999999999999997,0.10000000000000001,0.095000000000000001,0
nue,0.30000000000000004,0.40000000000000002,0.35000000000000003,0.10000000000000001,0.11,0.10500000000000001,0
nue,0.30000000000000004,0.40000000000000002,0.35000000000000003,0.11,0.12000000000000001,0.115,0
nue,0.30000000000000004,0.40000000000000002,0.35000000000000003,0.12000000000000001,0.13,0.125,0
nue,0.30000000000000004,0.40000000000000002,0.35000000000000003,0.13,0.14000000000000001,0.13500000000000001,0
nue,0.30000000000000004,0.40000000000000002,0.35000000000000003,0.14000000000000001,0.15000000000000002,0.14500000000000002,0
nue,0.30000000000000004,0.40000000000000002,0.35000000000000003,0.15000000000000002,0.16,0.15500000000000003,0
nue,0.30000000000000004,0.40000000000000002,0.35000000000000003,0.16,0.16999999999999998,0.16499999999999998,0
nue,0.30000000000000004,0.40000000000000002,0.35000000000000003,0.16999999999999998,0.17999999999999999,0.17499999999999999,0
nue,0.30000000000000004,0.40000000000000002,0.35000000000000003,0.17999999999999999,0.19,0.185,0
nue,0.30000000000000004,0.40000000000000002,0.35000000000000003,0.19,0.20000000000000001,0.19500000000000001,0
